"HazelcastManifestTransformer","equals","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:325:13:325:26","if (...)","equals","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:324:24:324:29"
"HazelcastManifestTransformer","equals","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:328:13:328:56","if (...)","equals","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:324:24:324:29"
"HazelcastManifestTransformer","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:105:9:105:35","if (...)","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:102:17:102:31"
"HazelcastManifestTransformer","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:114:9:114:35","if (...)","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:102:17:102:31"
"HazelcastManifestTransformer","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:126:9:126:35","if (...)","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:102:17:102:31"
"HazelcastManifestTransformer","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:190:9:190:35","if (...)","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:189:17:189:34"
"HazelcastManifestTransformer","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:196:9:196:41","if (...)","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:189:17:189:34"
"HazelcastManifestTransformer","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:204:9:204:30","if (...)","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:189:17:189:34"
"HazelcastManifestTransformer","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:208:9:208:36","if (...)","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:189:17:189:34"
"HazelcastManifestTransformer","buildDefinition","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:352:13:352:62","if (...)","buildDefinition","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:350:16:350:30"
