"HazelcastManifestTransformer","equals","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:325:13:325:26","if (...)","equals"
"HazelcastManifestTransformer","equals","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:328:13:328:56","if (...)","equals"
"HazelcastManifestTransformer","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:105:9:105:35","if (...)","processResource"
"HazelcastManifestTransformer","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:114:9:114:35","if (...)","processResource"
"HazelcastManifestTransformer","processResource","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:126:9:126:35","if (...)","processResource"
"HazelcastManifestTransformer","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:190:9:190:35","if (...)","modifyOutputStream"
"HazelcastManifestTransformer","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:196:9:196:41","if (...)","modifyOutputStream"
"HazelcastManifestTransformer","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:204:9:204:30","if (...)","modifyOutputStream"
"HazelcastManifestTransformer","modifyOutputStream","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:208:9:208:36","if (...)","modifyOutputStream"
"HazelcastManifestTransformer","buildDefinition","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:352:13:352:62","if (...)","buildDefinition"
"HazelcastManifestTransformer","buildDefinition","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:355:13:355:32","if (...)","buildDefinition"
"HazelcastManifestTransformer","buildDefinition","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:358:13:358:48","if (...)","buildDefinition"
"HazelcastManifestTransformer","overridePackageDefinitionResolution","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:278:13:278:67","if (...)","for (... : ...)"
"HazelcastManifestTransformer","overridePackageDefinitionResolution","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:280:17:280:44","if (...)","if (...)"
"HazelcastManifestTransformer","shadeImports","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:264:13:264:35","if (...)","for (... : ...)"
"HazelcastManifestTransformer","precompileOverrideInstructions","file:///home/runner/work/hazelcast/hazelcast/hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/HazelcastManifestTransformer.java:224:9:224:46","if (...)","precompileOverrideInstructions"
